TimeStamp,FastNc_axis_SP1_AxTorqueAct,FastNc_axis_X_AxTorqueAct,FastNc_axis_Y1_AxTorqueAct,FastNc_axis_Z1_AxTorqueAct,FastNc_axis_SP1_AxVeloAct
2021-10-08 06:50:21.124,-0.52,1.37,-22.26,-16.48,954100.7
2021-10-08 06:50:21.130,-1.18,1.3,-22.32,-13.29,953936.0
2021-10-08 06:50:21.136,-2.85,1.19,-22.39,-9.07,953812.4
2021-10-08 06:50:21.142,-3.36,1.08,-22.42,-4.57,953956.6
2021-10-08 06:50:21.148,-2.81,1.04,-22.45,-1.58,954121.3
2021-10-08 06:50:21.154,-1.24,1.08,-22.48,-0.03,954100.7
2021-10-08 06:50:21.160,-2.11,1.03,-22.53,1.01,953936.0
2021-10-08 06:50:21.166,-2.47,1.05,-22.58,1.76,953874.2
2021-10-08 06:50:21.172,-0.38,1.23,-22.6,2.12,954141.9
2021-10-08 06:50:21.178,-0.14,1.27,-22.58,2.35,954039.0
2021-10-08 06:50:21.184,-0.92,1.41,-22.56,2.47,954039.0
2021-10-08 06:50:21.190,-1.32,1.56,-22.57,2.39,953977.2
2021-10-08 06:50:21.196,-0.54,1.62,-22.63,2.33,954018.4
2021-10-08 06:50:21.202,-1.69,1.51,-22.69,2.39,953936.0
2021-10-08 06:50:21.208,-1.79,1.37,-22.76,2.3,954059.6
2021-10-08 06:50:21.214,-2.51,1.31,-22.83,2.26,954018.4
2021-10-08 06:50:21.220,-2.93,1.22,-22.85,2.2,954039.0
2021-10-08 06:50:21.226,-2.95,1.07,-22.87,2.27,953833.0
2021-10-08 06:50:21.232,-2.21,0.98,-22.87,2.34,953915.4
2021-10-08 06:50:21.238,-1.97,0.98,-22.91,2.26,954059.6
2021-10-08 06:50:21.244,-1.04,0.93,-22.91,2.4,954059.6
2021-10-08 06:50:21.250,-1.3,0.96,-22.89,2.62,953833.0
2021-10-08 06:50:21.256,-1.32,1.0,-22.91,2.61,953874.2
2021-10-08 06:50:21.262,0.8,1.09,-22.9,2.56,954203.7
2021-10-08 06:50:21.268,0.0,1.16,-22.89,2.57,954121.3
2021-10-08 06:50:21.274,-1.36,1.23,-22.91,2.63,953977.2
2021-10-08 06:50:21.280,-1.34,1.3,-22.9,2.65,953997.8
2021-10-08 06:50:21.286,-0.26,1.31,-22.96,2.5,954121.3
2021-10-08 06:50:21.292,-0.26,1.31,-22.96,2.45,954039.0
2021-10-08 06:50:21.298,-1.0,1.37,-23.04,2.47,954121.3
2021-10-08 06:50:21.304,-2.01,1.29,-23.0,2.46,954059.6
2021-10-08 06:50:21.310,-1.83,1.26,-23.05,2.4,954059.6
2021-10-08 06:50:21.316,-2.23,1.19,-23.05,2.4,953853.6
2021-10-08 06:50:21.322,-1.59,1.09,-23.05,2.41,954018.4
2021-10-08 06:50:21.328,-2.17,1.08,-23.05,2.47,953977.2
2021-10-08 06:50:21.334,-1.65,1.07,-23.02,2.55,953977.2
2021-10-08 06:50:21.340,-1.75,1.0,-23.02,2.58,953853.6
2021-10-08 06:50:21.346,-3.01,1.04,-23.05,2.58,953853.6
2021-10-08 06:50:21.352,-0.7,1.12,-23.01,2.62,954080.2
2021-10-08 06:50:21.358,-0.48,1.19,-23.01,2.98,954018.4
2021-10-08 06:50:21.364,-3.16,1.55,-23.11,2.74,953771.2
2021-10-08 06:50:21.370,-4.4,1.47,-23.01,2.79,953894.8
2021-10-08 06:50:21.376,-4.72,1.92,-23.26,4.24,953956.6
2021-10-08 06:50:21.382,-7.9,2.18,-23.92,6.75,953791.8
2021-10-08 06:50:21.388,-8.83,3.13,-23.63,3.47,953627.0
2021-10-08 06:50:21.394,-6.42,1.96,-23.42,0.53,953977.2
2021-10-08 06:50:21.400,-8.81,2.48,-23.74,3.96,953730.0
2021-10-08 06:50:21.406,-8.83,4.5,-24.71,7.43,953833.0
2021-10-08 06:50:21.412,-8.19,3.16,-25.83,3.08,953915.4
2021-10-08 06:50:21.418,-7.74,2.58,-24.34,1.83,954039.0
2021-10-08 06:50:21.424,-12.9,3.5,-24.41,5.64,953482.8
2021-10-08 06:50:21.430,-10.36,4.36,-24.49,4.2,953668.2
2021-10-08 06:50:21.436,-6.4,2.18,-25.69,3.02,954286.1
2021-10-08 06:50:21.442,-8.65,3.02,-25.99,3.76,954018.4
2021-10-08 06:50:21.448,-13.36,5.19,-26.06,8.38,953730.0
2021-10-08 06:50:21.454,-11.75,5.28,-24.45,4.79,953853.6
2021-10-08 06:50:21.460,-7.78,3.05,-23.74,0.84,954471.5
2021-10-08 06:50:21.466,-9.39,2.18,-25.04,5.11,954080.2
2021-10-08 06:50:21.472,-11.91,3.83,-25.81,10.02,953853.6
2021-10-08 06:50:21.478,-13.02,4.45,-25.61,4.45,953894.8
2021-10-08 06:50:21.484,-10.14,2.91,-24.67,-0.66,954306.7
2021-10-08 06:50:21.490,-12.35,2.92,-24.77,5.67,953894.8
2021-10-08 06:50:21.496,-11.63,5.13,-25.21,10.01,953833.0
2021-10-08 06:50:21.502,-12.98,4.06,-24.36,3.44,953874.2
2021-10-08 06:50:21.508,-13.02,0.78,-23.96,0.14,953709.4
2021-10-08 06:50:21.514,-14.85,2.66,-25.0,5.67,953585.8
2021-10-08 06:50:21.520,-15.17,4.56,-26.69,5.61,953750.6
2021-10-08 06:50:21.526,-12.59,3.11,-27.11,3.05,954183.1
2021-10-08 06:50:21.532,-15.01,2.63,-24.71,3.44,953771.2
2021-10-08 06:50:21.538,-14.08,5.3,-24.33,7.92,953915.4
2021-10-08 06:50:21.544,-16.96,4.82,-23.02,4.37,953688.8
2021-10-08 06:50:21.550,-11.47,0.74,-24.1,1.63,954430.3
2021-10-08 06:50:21.556,-12.63,0.67,-26.87,5.9,954059.6
2021-10-08 06:50:21.562,-12.15,3.84,-27.24,10.1,954203.7
2021-10-08 06:50:21.568,-16.76,5.56,-24.76,4.95,953791.8
2021-10-08 06:50:21.574,-11.08,3.66,-21.88,-0.79,954347.9
2021-10-08 06:50:21.580,-12.13,2.47,-23.84,5.99,954121.3
2021-10-08 06:50:21.586,-13.34,4.12,-25.28,10.63,954162.5
2021-10-08 06:50:21.592,-16.78,3.32,-24.3,4.58,953812.4
2021-10-08 06:50:21.598,-14.57,0.86,-24.48,-0.88,953956.6
2021-10-08 06:50:21.604,-16.26,2.5,-25.57,6.01,953915.4
2021-10-08 06:50:21.610,-16.8,5.64,-26.09,8.28,953812.4
2021-10-08 06:50:21.616,-15.65,4.64,-24.71,3.36,953936.0
2021-10-08 06:50:21.622,-14.34,1.96,-23.16,2.29,953956.6
2021-10-08 06:50:21.628,-16.78,3.59,-23.71,7.17,953791.8
2021-10-08 06:50:21.634,-18.45,3.76,-24.95,4.37,953565.2
2021-10-08 06:50:21.640,-10.86,1.05,-26.67,3.22,954430.3
2021-10-08 06:50:21.646,-15.03,1.34,-27.19,5.31,953915.4
2021-10-08 06:50:21.652,-15.35,5.44,-26.39,9.44,953977.2
2021-10-08 06:50:21.658,-17.5,6.27,-22.57,5.25,953771.2
2021-10-08 06:50:21.664,-10.36,2.66,-21.95,0.28,954656.9
2021-10-08 06:50:21.670,-14.48,0.86,-24.32,5.86,954162.5
2021-10-08 06:50:21.676,-14.97,2.91,-26.13,10.68,954059.6
2021-10-08 06:50:21.682,-17.18,3.66,-25.42,5.77,953833.0
2021-10-08 06:50:21.688,-13.82,2.28,-23.99,-1.67,954203.7
2021-10-08 06:50:21.694,-16.36,3.21,-24.1,6.21,953791.8
2021-10-08 06:50:21.700,-15.99,5.94,-25.53,10.22,953936.0
2021-10-08 06:50:21.706,-16.74,4.52,-23.33,4.05,953874.2
2021-10-08 06:50:21.712,-17.24,0.78,-23.97,0.33,953812.4
2021-10-08 06:50:21.718,-17.46,2.19,-24.62,6.78,953688.8
2021-10-08 06:50:21.724,-17.38,3.97,-26.84,5.9,953791.8
2021-10-08 06:50:21.732,-13.56,2.69,-27.39,3.97,954286.1
2021-10-08 06:50:21.736,-16.05,2.34,-25.37,4.36,953833.0
2021-10-08 06:50:21.742,-14.59,5.72,-24.77,8.71,954100.7
2021-10-08 06:50:21.748,-18.31,5.41,-22.63,5.0,953771.2
2021-10-08 06:50:21.754,-10.76,1.37,-22.87,1.64,954656.9
2021-10-08 06:50:21.760,-14.57,0.0,-26.43,5.8,953977.2
2021-10-08 06:50:21.766,-14.46,3.39,-27.37,10.65,954162.5
2021-10-08 06:50:21.772,-17.66,5.26,-25.25,6.3,953791.8
2021-10-08 06:50:21.778,-14.38,3.62,-22.43,-1.49,954409.7
2021-10-08 06:50:21.784,-16.36,2.66,-23.6,6.42,953874.2
2021-10-08 06:50:21.790,-17.28,4.71,-25.02,11.24,954039.0
2021-10-08 06:50:21.796,-20.08,3.76,-23.79,4.94,953688.8
2021-10-08 06:50:21.802,-18.09,0.39,-24.76,-1.72,953833.0
2021-10-08 06:50:21.808,-19.11,1.95,-25.64,7.18,953627.0
2021-10-08 06:50:21.814,-18.69,5.57,-26.65,7.99,953812.4
2021-10-08 06:50:21.820,-16.76,4.76,-25.77,3.92,953894.8
2021-10-08 06:50:21.826,-16.28,2.04,-23.48,3.44,953812.4
